time	size	parameter
410	a-50	decroissant
401	a-50	decroissant
416	a-50	decroissant
397	a-50	decroissant
405	a-50	decroissant
405	a-50	decroissant
389	a-50	decroissant
315	a-50	decroissant
362	a-50	decroissant
364	a-50	decroissant
357	a-50	decroissant
387	a-50	decroissant
340	a-50	decroissant
367	a-50	decroissant
422	a-50	decroissant
311	a-50	decroissant
354	a-50	decroissant
309	a-50	decroissant
316	a-50	decroissant
411	a-50	decroissant
402	a-50	decroissant
385	a-50	decroissant
403	a-50	decroissant
411	a-50	decroissant
376	a-50	decroissant
360	a-50	decroissant
366	a-50	decroissant
306	a-50	decroissant
320	a-50	decroissant
396	a-50	decroissant
356	a-50	decroissant
419	a-50	decroissant
382	a-50	decroissant
377	a-50	decroissant
385	a-50	decroissant
396	a-50	decroissant
388	a-50	decroissant
406	a-50	decroissant
407	a-50	decroissant
414	a-50	decroissant
365	a-50	decroissant
378	a-50	decroissant
346	a-50	decroissant
321	a-50	decroissant
302	a-50	decroissant
368	a-50	decroissant
409	a-50	decroissant
393	a-50	decroissant
316	a-50	decroissant
306	a-50	decroissant
324	a-50	decroissant
342	a-50	decroissant
509	a-50	decroissant
553	a-50	decroissant
418	a-50	decroissant
325	a-50	decroissant
307	a-50	decroissant
311	a-50	decroissant
315	a-50	decroissant
328	a-50	decroissant
373	a-50	decroissant
393	a-50	decroissant
332	a-50	decroissant
291	a-50	decroissant
337	a-50	decroissant
341	a-50	decroissant
665	a-50	decroissant
366	a-50	decroissant
346	a-50	decroissant
328	a-50	decroissant
430	a-50	decroissant
363	a-50	decroissant
330	a-50	decroissant
333	a-50	decroissant
336	a-50	decroissant
350	a-50	decroissant
358	a-50	decroissant
313	a-50	decroissant
358	a-50	decroissant
301	a-50	decroissant
338	a-50	decroissant
362	a-50	decroissant
321	a-50	decroissant
335	a-50	decroissant
309	a-50	decroissant
311	a-50	decroissant
365	a-50	decroissant
345	a-50	decroissant
320	a-50	decroissant
371	a-50	decroissant
335	a-50	decroissant
334	a-50	decroissant
309	a-50	decroissant
352	a-50	decroissant
346	a-50	decroissant
326	a-50	decroissant
336	a-50	decroissant
351	a-50	decroissant
312	a-50	decroissant
382	a-50	decroissant
314	a-50	decroissant
444	a-50	decroissant
420	a-50	decroissant
321	a-50	decroissant
323	a-50	decroissant
323	a-50	decroissant
422	a-50	decroissant
310	a-50	decroissant
318	a-50	decroissant
306	a-50	decroissant
316	a-50	decroissant
310	a-50	decroissant
312	a-50	decroissant
307	a-50	decroissant
307	a-50	decroissant
405	a-50	decroissant
306	a-50	decroissant
316	a-50	decroissant
310	a-50	decroissant
313	a-50	decroissant
315	a-50	decroissant
304	a-50	decroissant
314	a-50	decroissant
304	a-50	decroissant
333	a-50	decroissant
315	a-50	decroissant
314	a-50	decroissant
313	a-50	decroissant
330	a-50	decroissant
